iter	Passed	Remaining
0	197	98374
1	260	64775
2	316	52357
3	375	46598
4	437	43357
5	492	40551
6	545	38393
7	601	36972
8	650	35480
9	706	34624
10	765	34027
11	823	33482
12	875	32806
13	930	32307
14	989	32006
15	1045	31624
16	1098	31219
17	1155	30944
18	1210	30633
19	1267	30418
20	1326	30248
21	1378	29941
22	1435	29761
23	1483	29429
24	1539	29247
25	1595	29083
26	1654	28976
27	1713	28892
28	1767	28710
29	1821	28538
30	1879	28438
31	1932	28269
32	1987	28122
33	2043	28003
34	2100	27908
35	2157	27801
36	2217	27751
37	2273	27641
38	2327	27515
39	2383	27408
40	2447	27397
41	2505	27324
42	2559	27201
43	2613	27083
44	2669	26993
45	2723	26877
46	2783	26827
47	2844	26788
48	2902	26718
49	2955	26599
50	3010	26507
51	3065	26407
52	3119	26309
53	3171	26198
54	3223	26078
55	3279	26001
56	3337	25938
57	3393	25857
58	3441	25722
59	3492	25614
60	3543	25501
61	3602	25449
62	3656	25362
63	3711	25281
64	3764	25190
65	3819	25113
66	3866	24984
67	3916	24883
68	3977	24844
69	4031	24765
70	4079	24646
71	4131	24561
72	4182	24463
73	4229	24350
74	4281	24261
75	4330	24159
76	4388	24106
77	4440	24021
78	4494	23951
79	4549	23885
80	4606	23826
81	4658	23745
82	4709	23661
83	4767	23609
84	4825	23558
85	4881	23498
86	4936	23434
87	4987	23352
88	5046	23306
89	5100	23237
90	5150	23147
91	5205	23086
92	5257	23009
93	5311	22940
94	5368	22885
95	5424	22826
96	5473	22741
97	5523	22658
98	5577	22590
99	5631	22525
100	5681	22444
101	5735	22379
102	5785	22300
103	5842	22246
104	5893	22170
105	5944	22095
106	5998	22030
107	6067	22021
108	6121	21960
109	6172	21883
110	6227	21824
111	6284	21771
112	6338	21709
113	6393	21647
114	6450	21593
115	6502	21523
116	6561	21477
117	6628	21459
118	6687	21409
119	6752	21383
120	6809	21329
121	6865	21271
122	6919	21209
123	6966	21124
124	7024	21072
125	7076	21004
126	7127	20934
127	7182	20872
128	7233	20803
129	7287	20742
130	7339	20672
131	7391	20606
132	7449	20556
133	7498	20480
134	7544	20397
135	7596	20333
136	7647	20264
137	7696	20189
138	7744	20113
139	7795	20046
140	7846	19978
141	7906	19933
142	7967	19891
143	8023	19835
144	8073	19766
145	8125	19702
146	8184	19653
147	8240	19599
148	8289	19528
149	8335	19448
150	8377	19363
151	8421	19281
152	8466	19201
153	8534	19174
154	8595	19132
155	8648	19071
156	8696	18998
157	8738	18915
158	8786	18844
159	8843	18793
160	8899	18737
161	8945	18664
162	8987	18581
163	9029	18499
164	9072	18420
165	9114	18339
166	9156	18258
167	9197	18175
168	9239	18097
169	9282	18019
170	9325	17942
171	9375	17879
172	9418	17801
173	9459	17722
174	9501	17645
175	9543	17567
176	9582	17487
177	9626	17413
178	9685	17369
179	9741	17317
180	9792	17258
181	9845	17203
182	9896	17143
183	9935	17063
184	9986	17004
185	10032	16937
186	10082	16876
187	10143	16834
188	10201	16786
189	10240	16708
190	10289	16645
191	10341	16589
192	10391	16528
193	10433	16457
194	10474	16383
195	10516	16311
196	10557	16238
197	10597	16163
198	10639	16092
199	10679	16019
200	10721	15949
201	10765	15881
202	10806	15811
203	10849	15742
204	10891	15673
205	10935	15606
206	10976	15536
207	11019	15469
208	11061	15401
209	11102	15331
210	11150	15272
211	11204	15220
212	11246	15154
213	11290	15089
214	11331	15021
215	11375	14956
216	11417	14889
217	11458	14822
218	11501	14757
219	11542	14690
220	11585	14626
221	11628	14561
222	11672	14499
223	11717	14437
224	11761	14374
225	11803	14310
226	11844	14244
227	11885	14178
228	11926	14113
229	11967	14048
230	12012	13988
231	12053	13924
232	12097	13862
233	12171	13835
234	12252	13816
235	12324	13786
236	12384	13743
237	12446	13701
238	12503	13653
239	12550	13596
240	12603	13544
241	12648	13484
242	12696	13427
243	12752	13379
244	12798	13320
245	12842	13260
246	12885	13198
247	12925	13134
248	12967	13071
249	13009	13009
250	13051	12947
251	13095	12887
252	13141	12829
253	13183	12768
254	13225	12706
255	13265	12643
256	13306	12581
257	13346	12518
258	13388	12458
259	13429	12396
260	13470	12335
261	13511	12274
262	13552	12212
263	13593	12151
264	13632	12089
265	13672	12027
266	13713	11967
267	13753	11906
268	13793	11845
269	13833	11784
270	13874	11723
271	13914	11663
272	13956	11604
273	13997	11545
274	14039	11486
275	14082	11429
276	14126	11372
277	14168	11314
278	14209	11255
279	14252	11198
280	14294	11140
281	14336	11082
282	14379	11026
283	14420	10967
284	14462	10910
285	14504	10853
286	14546	10795
287	14587	10738
288	14630	10681
289	14670	10623
290	14712	10566
291	14754	10509
292	14797	10454
293	14839	10397
294	14883	10342
295	14925	10286
296	14966	10229
297	15008	10173
298	15050	10117
299	15093	10062
300	15138	10008
301	15180	9952
302	15223	9897
303	15265	9842
304	15308	9787
305	15350	9732
306	15393	9677
307	15438	9623
308	15480	9568
309	15520	9512
310	15563	9458
311	15603	9402
312	15645	9347
313	15687	9292
314	15730	9238
315	15772	9183
316	15817	9131
317	15858	9076
318	15902	9022
319	15943	8968
320	15986	8914
321	16027	8859
322	16068	8805
323	16110	8751
324	16153	8697
325	16194	8643
326	16236	8589
327	16277	8536
328	16321	8483
329	16364	8430
330	16405	8376
331	16447	8322
332	16488	8268
333	16529	8215
334	16570	8161
335	16609	8107
336	16650	8053
337	16693	8000
338	16734	7947
339	16774	7894
340	16816	7841
341	16860	7789
342	16901	7736
343	16941	7682
344	16985	7630
345	17026	7578
346	17068	7525
347	17111	7473
348	17151	7421
349	17193	7368
350	17235	7316
351	17277	7264
352	17318	7212
353	17361	7160
354	17400	7107
355	17441	7054
356	17483	7003
357	17523	6950
358	17564	6898
359	17606	6847
360	17651	6796
361	17694	6745
362	17738	6694
363	17778	6642
364	17819	6590
365	17859	6538
366	17901	6487
367	17943	6436
368	17985	6385
369	18026	6333
370	18066	6282
371	18111	6231
372	18152	6180
373	18195	6130
374	18239	6079
375	18282	6029
376	18324	5978
377	18366	5927
378	18410	5877
379	18452	5827
380	18494	5776
381	18535	5725
382	18579	5675
383	18622	5625
384	18665	5575
385	18707	5524
386	18754	5476
387	18795	5425
388	18838	5375
389	18880	5325
390	18921	5274
391	18962	5224
392	19006	5174
393	19048	5124
394	19089	5074
395	19131	5024
396	19173	4974
397	19217	4925
398	19260	4875
399	19303	4825
400	19344	4775
401	19385	4725
402	19429	4676
403	19473	4627
404	19516	4577
405	19559	4528
406	19601	4479
407	19645	4429
408	19688	4380
409	19733	4331
410	19774	4281
411	19818	4233
412	19861	4183
413	19904	4134
414	19947	4085
415	19987	4036
416	20051	3991
417	20099	3943
418	20142	3893
419	20186	3844
420	20227	3795
421	20270	3746
422	20315	3698
423	20357	3648
424	20398	3599
425	20439	3550
426	20481	3501
427	20524	3452
428	20566	3403
429	20607	3354
430	20649	3305
431	20691	3257
432	20735	3208
433	20777	3159
434	20819	3110
435	20861	3062
436	20902	3013
437	20943	2964
438	20986	2916
